a_id,b_id,true_pair,group_id
359,359,1,10
360,360,1,17
361,361,1,11
362,362,1,16
363,363,1,1
364,364,1,13
365,365,1,38
366,366,1,40
367,367,1,5
368,368,1,24
369,369,1,0
370,370,1,33
371,371,1,18
372,372,1,27
373,373,1,18
374,374,1,19
375,375,1,13
376,376,1,36
377,377,1,45
378,378,1,3
379,379,1,13
380,380,1,34
381,381,1,41
382,382,1,29
383,383,1,33
384,384,1,48
385,385,1,10
386,386,1,26
387,387,1,20
388,388,1,34
389,389,1,21
390,390,1,13
391,391,1,27
392,392,1,32
393,393,1,29
394,394,1,33
395,395,1,33
396,396,1,27
397,397,1,19
398,398,1,36
399,399,1,16
400,400,1,10
401,401,1,27
402,402,1,8
403,403,1,34
404,404,1,11
405,405,1,46
406,406,1,33
407,407,1,48
408,408,1,20
409,409,1,41
410,410,1,5
411,411,1,9
412,412,1,12
413,413,1,28
414,414,1,4
415,415,1,14
416,416,1,49
417,417,1,4
418,418,1,15
419,419,1,46
420,420,1,19
421,421,1,44
422,422,1,43
423,423,1,29
424,424,1,0
425,425,1,33
426,426,1,2
427,427,1,26
428,428,1,48
429,429,1,12
430,430,1,11
431,431,1,36
432,432,1,6
433,433,1,8
434,434,1,45
435,435,1,18
436,436,1,22
437,437,1,19
438,438,1,40
439,439,1,9
440,440,1,18
441,441,1,2
442,442,1,24
443,443,1,29
444,444,1,10
445,445,1,17
446,446,1,39
447,447,1,37
448,448,1,33
449,449,1,3
450,450,1,4
451,451,1,3
452,452,1,24
453,453,1,13
454,454,1,23
455,455,1,6
456,456,1,48
457,457,1,12
458,458,1,17
459,459,1,19
460,460,1,43
461,461,1,31
462,462,1,49
463,463,1,43
464,464,1,36
465,465,1,30
466,466,1,27
467,467,1,42
468,468,1,36
469,469,1,33
470,470,1,29
471,471,1,30
472,472,1,22
473,473,1,43
474,474,1,14
475,475,1,16
476,476,1,16
477,477,1,14
478,478,1,45
479,479,1,20
480,480,1,31
481,481,1,16
482,482,1,12
483,483,1,22
484,484,1,13
485,485,1,16
486,486,1,25
487,487,1,10
488,488,1,15
489,489,1,17
490,490,1,26
491,491,1,22
492,492,1,0
493,493,1,11
494,494,1,33
495,495,1,35
496,496,1,45
497,497,1,43
498,498,1,39
499,499,1,8
500,500,1,30
501,501,1,6
502,502,1,5
503,503,1,26
504,504,1,44
505,505,1,47
506,506,1,39
507,507,1,27
508,508,1,28
509,509,1,49
510,510,1,48
511,511,1,20
512,512,1,32
513,513,1,49
514,514,1,14
515,515,1,23
516,516,1,8
517,517,1,12
518,518,1,6
519,519,1,41
520,520,1,3
521,521,1,20
522,522,1,15
523,523,1,9
524,524,1,15
525,525,1,15
526,526,1,31
527,527,1,0
528,528,1,33
529,529,1,24
530,530,1,8
531,531,1,7
532,532,1,41
533,533,1,10
534,534,1,3
535,535,1,37
536,536,1,46
537,537,1,8
538,538,1,27
539,539,1,29
540,540,1,21
541,541,1,45
542,542,1,23
543,543,1,22
544,544,1,48
545,545,1,34
546,546,1,40
547,547,1,42
548,548,1,25
549,549,1,33
550,550,1,46
551,551,1,31
552,552,1,25
553,553,1,26
554,554,1,37
555,555,1,32
556,556,1,24
557,557,1,12
558,558,1,38
559,559,1,40
560,560,1,33
561,561,1,2
562,562,1,4
563,563,1,43
564,564,1,23
565,565,1,40
566,566,1,39
567,567,1,45
568,568,1,44
569,569,1,43
570,570,1,18
571,571,1,33
572,572,1,39
573,573,1,17
574,574,1,47
575,575,1,20
576,576,1,36
577,577,1,29
578,578,1,46
579,579,1,17
580,580,1,44
581,581,1,38
582,582,1,23
583,583,1,11
584,584,1,37
585,585,1,4
586,586,1,2
587,587,1,8
588,588,1,10
589,589,1,4
590,590,1,49
591,591,1,39
592,592,1,16
593,593,1,1
594,594,1,21
595,595,1,49
596,596,1,2
597,597,1,39
598,598,1,28
599,599,1,26
600,600,1,37
601,601,1,3
602,602,1,13
603,603,1,38
604,604,1,41
605,605,1,9
606,606,1,41
607,607,1,22
608,608,1,49
609,609,1,33
610,610,1,42
611,611,1,22
612,612,1,18
613,613,1,48
614,614,1,46
615,615,1,9
616,616,1,49
617,617,1,24
618,618,1,0
619,619,1,11
620,620,1,1
621,621,1,1
622,622,1,36
623,623,1,23
624,624,1,4
625,625,1,22
626,626,1,3
627,627,1,33
628,628,1,49
629,629,1,38
630,630,1,41
631,631,1,18
632,632,1,23
633,633,1,25
634,634,1,1
635,635,1,23
636,636,1,7
637,637,1,7
638,638,1,30
639,639,1,28
640,640,1,1
641,641,1,46
642,642,1,44
643,643,1,41
644,644,1,17
645,645,1,17
646,646,1,7
647,647,1,9
648,648,1,2
649,649,1,44
650,650,1,49
651,651,1,18
652,652,1,32
653,653,1,31
654,654,1,7
655,655,1,37
656,656,1,43
657,657,1,16
658,658,1,34
659,659,1,11
660,660,1,36
661,661,1,10
662,662,1,22
663,663,1,1
664,664,1,21
665,665,1,15
666,666,1,2
667,667,1,12
668,668,1,48
669,669,1,22
670,670,1,1
671,671,1,14
672,672,1,31
673,673,1,20
674,674,1,22
675,675,1,4
676,676,1,28
677,677,1,10
678,678,1,43
679,679,1,11
680,680,1,11
681,681,1,30
682,682,1,13
683,683,1,32
684,684,1,25
685,685,1,29
686,686,1,32
687,687,1,10
688,688,1,35
689,689,1,35
690,690,1,12
691,691,1,42
692,692,1,12
693,693,1,32
694,694,1,13
695,695,1,25
696,696,1,22
697,697,1,1
698,698,1,30
699,699,1,35
700,700,1,10
701,701,1,10
702,702,1,10
703,703,1,24
704,704,1,21
705,705,1,26
706,706,1,14
707,707,1,9
708,708,1,22
709,709,1,33
710,710,1,0
711,711,1,49
712,712,1,32
713,713,1,48
714,714,1,12
715,715,1,36
716,716,1,47
717,717,1,25
718,718,1,9
719,719,1,42
720,720,1,46
721,721,1,45
722,722,1,11
723,723,1,42
724,724,1,38
725,725,1,24
726,726,1,15
727,727,1,47
728,728,1,48
729,729,1,39
730,730,1,35
731,731,1,3
732,732,1,44
733,733,1,14
734,734,1,13
735,735,1,0
736,736,1,19
737,737,1,47
738,738,1,2
739,739,1,20
740,740,1,41
741,741,1,7
742,742,1,21
743,743,1,28
744,744,1,13
745,745,1,36
746,746,1,8
747,747,1,48
748,748,1,39
749,749,1,4
750,750,1,47
751,751,1,3
752,752,1,27
753,753,1,48
754,754,1,17
755,755,1,45
756,756,1,3
757,757,1,28
758,758,1,20
759,759,1,26
760,760,1,40
761,761,1,30
762,762,1,8
763,763,1,45
764,764,1,21
765,765,1,43
766,766,1,16
767,767,1,39
768,768,1,41
769,769,1,25
770,770,1,19
771,771,1,3
772,772,1,12
773,773,1,15
774,774,1,17
775,775,1,27
776,776,1,27
777,777,1,2
778,778,1,14
779,779,1,29
780,780,1,47
781,781,1,13
782,782,1,7
783,783,1,47
784,784,1,6
785,785,1,27
786,786,1,2
787,787,1,2
788,788,1,22
789,789,1,46
790,790,1,12
791,791,1,32
792,792,1,23
793,793,1,5
794,794,1,2
795,795,1,43
796,796,1,20
797,797,1,42
798,798,1,7
799,799,1,25
800,800,1,15
801,801,1,4
802,802,1,33
803,803,1,19
804,804,1,46
805,805,1,15
806,806,1,13
807,807,1,36
808,808,1,8
809,809,1,27
810,810,1,43
811,811,1,28
812,812,1,13
813,813,1,27
814,814,1,2
815,815,1,32
816,816,1,8
817,817,1,33
818,818,1,8
819,819,1,18
820,820,1,29
821,821,1,5
822,822,1,8
823,823,1,2
824,824,1,0
825,825,1,46
826,826,1,4
827,827,1,2
828,828,1,6
829,829,1,25
830,830,1,15
831,831,1,7
832,832,1,24
833,833,1,21
834,834,1,46
835,835,1,46
836,836,1,18
837,837,1,12
838,838,1,9
839,839,1,49
840,840,1,23
841,841,1,35
842,842,1,40
843,843,1,47
844,844,1,21
845,845,1,44
846,846,1,9
847,847,1,9
848,848,1,10
849,849,1,18
850,850,1,14
851,851,1,18
852,852,1,27
853,853,1,43
854,854,1,13
855,855,1,8
856,856,1,17
857,857,1,35
858,858,1,8
859,859,1,15
860,860,1,37
861,861,1,0
862,862,1,34
863,863,1,41
864,864,1,15
865,865,1,25
866,866,1,10
867,867,1,29
868,868,1,12
869,869,1,26
870,870,1,44
871,871,1,3
872,872,1,6
873,873,1,46
874,874,1,29
875,875,1,40
876,876,1,18
877,877,1,21
878,878,1,40
879,879,1,40
880,880,1,20
881,881,1,21
882,882,1,22
883,883,1,48
884,884,1,38
885,885,1,34
886,886,1,44
887,887,1,30
888,888,1,38
889,889,1,31
890,890,1,42
891,891,1,41
892,892,1,20
893,893,1,19
894,894,1,1
895,895,1,7
896,896,1,36
897,897,1,9
898,898,1,19
899,899,1,20
900,900,1,20
901,901,1,41
902,902,1,10
903,903,1,20
904,904,1,2
905,905,1,12
906,906,1,39
907,907,1,13
908,908,1,23
909,909,1,10
910,910,1,35
911,911,1,20
912,912,1,18
913,913,1,49
914,914,1,49
915,915,1,4
916,916,1,36
917,917,1,8
918,918,1,29
919,919,1,35
920,920,1,15
921,921,1,0
922,922,1,31
923,923,1,26
924,924,1,47
925,925,1,4
926,926,1,28
927,927,1,28
928,928,1,14
929,929,1,21
930,930,1,30
931,931,1,4
932,932,1,14
933,933,1,32
934,934,1,15
935,935,1,28
936,936,1,46
937,937,1,48
938,938,1,20
939,939,1,45
940,940,1,36
941,941,1,26
942,942,1,21
943,943,1,18
944,944,1,22
945,945,1,1
946,946,1,20
947,947,1,1
948,948,1,23
949,949,1,11
950,950,1,16
951,951,1,18
952,952,1,22
953,953,1,45
954,954,1,41
955,955,1,2
956,956,1,45
957,957,1,7
958,958,1,16
959,959,1,1
960,960,1,14
961,961,1,47
962,962,1,16
963,963,1,37
964,964,1,6
965,965,1,36
966,966,1,30
967,967,1,44
968,968,1,18
969,969,1,45
970,970,1,46
971,971,1,48
972,972,1,16
973,973,1,28
974,974,1,43
975,975,1,34
976,976,1,12
977,977,1,36
978,978,1,22
979,979,1,48
980,980,1,7
981,981,1,47
982,982,1,47
983,983,1,16
984,984,1,30
985,985,1,34
986,986,1,3
987,987,1,35
988,988,1,43
989,989,1,0
990,990,1,26
991,991,1,25
992,992,1,14
993,993,1,5
994,994,1,14
995,995,1,8
996,996,1,26
997,997,1,28
998,998,1,28
999,999,1,37
1000,1000,1,11
1001,1001,1,1
1002,1002,1,46
1003,1003,1,44
1004,1004,1,32
1005,1005,1,9
1006,1006,1,13
1007,1007,1,23
1008,1008,1,28
1009,1009,1,4
1010,1010,1,16
1011,1011,1,27
1012,1012,1,26
1013,1013,1,5
1014,1014,1,22
1015,1015,1,34
1016,1016,1,29
1017,1017,1,32
1018,1018,1,35
1019,1019,1,10
1020,1020,1,14
1021,1021,1,26
1022,1022,1,9
1023,1023,1,38
1024,1024,1,3
1025,1025,1,42
1026,1026,1,12
1027,1027,1,43
1028,1028,1,0
1029,1029,1,21
1030,1030,1,22
1031,1031,1,33
1032,1032,1,38
1033,1033,1,28
1034,1034,1,2
1035,1035,1,34
1036,1036,1,22
1037,1037,1,26
1038,1038,1,14
1039,1039,1,17
1040,1040,1,40
1041,1041,1,13
1042,1042,1,3
1043,1043,1,33
1044,1044,1,46
1045,1045,1,5
1046,1046,1,7
1047,1047,1,15
1048,1048,1,39
1049,1049,1,34
1050,1050,1,25
1051,1051,1,2
1052,1052,1,6
1053,1053,1,18
1054,1054,1,17
1055,1055,1,2
1056,1056,1,49
1057,1057,1,8
1058,1058,1,6
1059,1059,1,1
1060,1060,1,32
1061,1061,1,48
1062,1062,1,6
1063,1063,1,23
1064,1064,1,25
1065,1065,1,35
1066,1066,1,14
1067,1067,1,27
1068,1068,1,48
1069,1069,1,40
1070,1070,1,37
1071,1071,1,1
1072,1072,1,6
1073,1073,1,37
1074,1074,1,45
1075,1075,1,33
1076,1076,1,27
1077,1077,1,20
1078,1078,1,33
1079,1079,1,6
1080,1080,1,31
1081,1081,1,29
1082,1082,1,41
1083,1083,1,21
1084,1084,1,31
1085,1085,1,36
1086,1086,1,27
1087,1087,1,43
1088,1088,1,45
1089,1089,1,48
1090,1090,1,36
1091,1091,1,31
1092,1092,1,18
1093,1093,1,14
1094,1094,1,6
1095,1095,1,43
1096,1096,1,6
1097,1097,1,37
1098,1098,1,31
1099,1099,1,22
1100,1100,1,4
1101,1101,1,0
1102,1102,1,15
1103,1103,1,18
1104,1104,1,43
1105,1105,1,13
1106,1106,1,0
1107,1107,1,15
1108,1108,1,25
1109,1109,1,23
1110,1110,1,9
1111,1111,1,37
1112,1112,1,11
1113,1113,1,12
1114,1114,1,27
1115,1115,1,22
1116,1116,1,1
1117,1117,1,28
1118,1118,1,5
1119,1119,1,24
1120,1120,1,47
1121,1121,1,3
1122,1122,1,7
1123,1123,1,23
1124,1124,1,29
1125,1125,1,44
1126,1126,1,40
1127,1127,1,11
1128,1128,1,36
1129,1129,1,12
1130,1130,1,9
1131,1131,1,0
1132,1132,1,25
1133,1133,1,32
1134,1134,1,21
1135,1135,1,0
1136,1136,1,7
1137,1137,1,12
1138,1138,1,18
1139,1139,1,24
1140,1140,1,10
1141,1141,1,41
1142,1142,1,34
1143,1143,1,44
1144,1144,1,33
1145,1145,1,4
1146,1146,1,28
1147,1147,1,47
1148,1148,1,31
1149,1149,1,43
1150,1150,1,9
1151,1151,1,45
1152,1152,1,19
1153,1153,1,36
1154,1154,1,9
1155,1155,1,46
1156,1156,1,8
1157,1157,1,20
1158,1158,1,14
1159,1159,1,12
1160,1160,1,36
1161,1161,1,35
1162,1162,1,16
1163,1163,1,32
1164,1164,1,21
1165,1165,1,23
1166,1166,1,49
1167,1167,1,18
1168,1168,1,22
1169,1169,1,38
1170,1170,1,4
1171,1171,1,30
1172,1172,1,46
1173,1173,1,47
1174,1174,1,4
1175,1175,1,30
1176,1176,1,5
1177,1177,1,46
1178,1178,1,45
1179,1179,1,40
1180,1180,1,41
1181,1181,1,32
1182,1182,1,46
1183,1183,1,26
1184,1184,1,15
1185,1185,1,18
1186,1186,1,24
1187,1187,1,30
1188,1188,1,37
1189,1189,1,48
1190,1190,1,6
1191,1191,1,13
1192,1192,1,21
1193,1193,1,35
1194,1194,1,49
1195,1195,1,15
1196,1196,1,27
1197,1197,1,27
1198,1198,1,14
1199,1199,1,7
1200,1200,1,12
1201,1201,1,18
1202,1202,1,43
1203,1203,1,16
1204,1204,1,19
1205,1205,1,28
1206,1206,1,17
1207,1207,1,14
1208,1208,1,36
1209,1209,1,18
1210,1210,1,14
1211,1211,1,32
1212,1212,1,15
1213,1213,1,14
1214,1214,1,25
1215,1215,1,3
1216,1216,1,44
1217,1217,1,13
1218,1218,1,43
1219,1219,1,6
1220,1220,1,15
1221,1221,1,26
1222,1222,1,23
1223,1223,1,7
1224,1224,1,44
1225,1225,1,46
1226,1226,1,23
1227,1227,1,36
1228,1228,1,3
1229,1229,1,37
1230,1230,1,42
1231,1231,1,22
1232,1232,1,19
1233,1233,1,14
1234,1234,1,49
1235,1235,1,28
1236,1236,1,36
1237,1237,1,17
1238,1238,1,29
1239,1239,1,5
1240,1240,1,10
1241,1241,1,26
1242,1242,1,36
1243,1243,1,45
1244,1244,1,26
1245,1245,1,32
1246,1246,1,9
1247,1247,1,39
1248,1248,1,28
1249,1249,1,2
1250,1250,1,30
1251,1251,1,34
1252,1252,1,49
1253,1253,1,8
1254,1254,1,31
1255,1255,1,9
1256,1256,1,46
1257,1257,1,31
1258,1258,1,31
1259,1259,1,46
1260,1260,1,12
1261,1261,1,1
1262,1262,1,1
1263,1263,1,35
1264,1264,1,29
1265,1265,1,24
1266,1266,1,11
1267,1267,1,15
1268,1268,1,24
1269,1269,1,33
1270,1270,1,4
1271,1271,1,14
1272,1272,1,0
1273,1273,1,42
1274,1274,1,6
1275,1275,1,2
1276,1276,1,34
1277,1277,1,49
1278,1278,1,18
1279,1279,1,42
1280,1280,1,43
1281,1281,1,41
1282,1282,1,20
1283,1283,1,32
1284,1284,1,6
1285,1285,1,37
1286,1286,1,43
1287,1287,1,23
1288,1288,1,39
1289,1289,1,42
1290,1290,1,8
1291,1291,1,26
1292,1292,1,1
1293,1293,1,5
1294,1294,1,37
1295,1295,1,32
1296,1296,1,23
1297,1297,1,13
1298,1298,1,29
1299,1299,1,6
1300,1300,1,38
1301,1301,1,34
1302,1302,1,12
1303,1303,1,32
1304,1304,1,40
1305,1305,1,12
1306,1306,1,13
1307,1307,1,25
1308,1308,1,39
1309,1309,1,28
1310,1310,1,33
1311,1311,1,15
1312,1312,1,48
1313,1313,1,5
1314,1314,1,48
1315,1315,1,35
1316,1316,1,43
1317,1317,1,28
1318,1318,1,2
1319,1319,1,14
1320,1320,1,32
1321,1321,1,21
1322,1322,1,10
1323,1323,1,22
1324,1324,1,32
1325,1325,1,24
1326,1326,1,11
1327,1327,1,37
1328,1328,1,2
1329,1329,1,14
1330,1330,1,22
1331,1331,1,16
1332,1332,1,45
1333,1333,1,11
1334,1334,1,10
1335,1335,1,40
1336,1336,1,16
1337,1337,1,46
1338,1338,1,33
1339,1339,1,43
1340,1340,1,25
1341,1341,1,0
1342,1342,1,9
1343,1343,1,6
1344,1344,1,15
1345,1345,1,48
1346,1346,1,6
1347,1347,1,18
1348,1348,1,20
1349,1349,1,37
1350,1350,1,18
1351,1351,1,32
1352,1352,1,20
1353,1353,1,40
1354,1354,1,31
1355,1355,1,31
1356,1356,1,4
1357,1357,1,5
1358,1358,1,40
1359,1359,1,13
1360,1360,1,25
1361,1361,1,13
1362,1362,1,24
1363,1363,1,45
1364,1364,1,39
1365,1365,1,39
1366,1366,1,36
1367,1367,1,41
1368,1368,1,48
1369,1369,1,1
1370,1370,1,11
1371,1371,1,32
1372,1372,1,39
1373,1373,1,17
1374,1374,1,39
1375,1375,1,18
1376,1376,1,17
1377,1377,1,25
1378,1378,1,6
1379,1379,1,37
1380,1380,1,11
1381,1381,1,27
1382,1382,1,47
1383,1383,1,29
1384,1384,1,15
1385,1385,1,14
1386,1386,1,12
1387,1387,1,38
1388,1388,1,15
1389,1389,1,7
1390,1390,1,32
1391,1391,1,46
1392,1392,1,38
1393,1393,1,33
1394,1394,1,32
1395,1395,1,13
1396,1396,1,2
1397,1397,1,40
1398,1398,1,31
1399,1399,1,28
1400,1400,1,49
1401,1401,1,29
1402,1402,1,36
1403,1403,1,20
1404,1404,1,32
1405,1405,1,46
1406,1406,1,33
1407,1407,1,12
1408,1408,1,34
1409,1409,1,23
1410,1410,1,44
1411,1411,1,37
1412,1412,1,12
1413,1413,1,30
1414,1414,1,3
1415,1415,1,8
1416,1416,1,22
1417,1417,1,44
1418,1418,1,2
1419,1419,1,26
1420,1420,1,17
1421,1421,1,29
1422,1422,1,36
1423,1423,1,45
1424,1424,1,13
1425,1425,1,26
1426,1426,1,36
1427,1427,1,19
1428,1428,1,21
1429,1429,1,47
1430,1430,1,36
1431,1431,1,11
1432,1432,1,10
1433,1433,1,10
1434,1434,1,27
1435,1435,1,29
1436,1436,1,7
1437,1437,1,20
1438,1438,1,21
1439,1439,1,33
1440,1440,1,35
1441,1441,1,25
1442,1442,1,4
1443,1443,1,5
1444,1444,1,34
1445,1445,1,33
1446,1446,1,21
1447,1447,1,38
1448,1448,1,47
1449,1449,1,5
1450,1450,1,48
1451,1451,1,20
1452,1452,1,45
1453,1453,1,24
1454,1454,1,48
1455,1455,1,48
1456,1456,1,6
1457,1457,1,31
1458,1458,1,49
1459,1459,1,41
1460,1460,1,15
1461,1461,1,25
1462,1462,1,28
1463,1463,1,14
1464,1464,1,28
1465,1465,1,43
1466,1466,1,5
1467,1467,1,6
1468,1468,1,41
1469,1469,1,45
1470,1470,1,14
1471,1471,1,7
1472,1472,1,12
1473,1473,1,0
1474,1474,1,38
1475,1475,1,23
1476,1476,1,14
1477,1477,1,9
1478,1478,1,23
1479,1479,1,21
1480,1480,1,0
1481,1481,1,37
1482,1482,1,6
1483,1483,1,40
1484,1484,1,10
1485,1485,1,28
1486,1486,1,40
1487,1487,1,39
1488,1488,1,30
1489,1489,1,41
1490,1490,1,8
1491,1491,1,27
1492,1492,1,7
1493,1493,1,12
1494,1494,1,42
1495,1495,1,3
1496,1496,1,15
1497,1497,1,15
1498,1498,1,0
1499,1499,1,16
1500,1500,1,23
1501,1501,1,5
1502,1502,1,33
1503,1503,1,30
1504,1504,1,49
1505,1505,1,18
1506,1506,1,32
1507,1507,1,17
1508,1508,1,20
1509,1509,1,47
1510,1510,1,21
1511,1511,1,34
1512,1512,1,47
1513,1513,1,42
1514,1514,1,14
1515,1515,1,25
1516,1516,1,22
1517,1517,1,29
1518,1518,1,1
1519,1519,1,8
1520,1520,1,12
1521,1521,1,42
1522,1522,1,42
1523,1523,1,9
1524,1524,1,38
1525,1525,1,25
1526,1526,1,27
1527,1527,1,5
1528,1528,1,27
1529,1529,1,13
1530,1530,1,24
1531,1531,1,41
1532,1532,1,11
1533,1533,1,41
1534,1534,1,32
1535,1535,1,22
1536,1536,1,42
1537,1537,1,42
1538,1538,1,1
1539,1539,1,13
1540,1540,1,20
1541,1541,1,43
1542,1542,1,24
1543,1543,1,20
1544,1544,1,29
1545,1545,1,20
1546,1546,1,40
1547,1547,1,1
1548,1548,1,46
1549,1549,1,41
1550,1550,1,26
1551,1551,1,11
1552,1552,1,2
1553,1553,1,42
1554,1554,1,37
1555,1555,1,15
1556,1556,1,44
1557,1557,1,31
1558,1558,1,11
1559,1559,1,38
1560,1560,1,11
1561,1561,1,49
1562,1562,1,23
1563,1563,1,1
1564,1564,1,44
1565,1565,1,32
1566,1566,1,7
1567,1567,1,49
1568,1568,1,25
1569,1569,1,29
1570,1570,1,16
1571,1571,1,6
1572,1572,1,16
1573,1573,1,48
1574,1574,1,42
1575,1575,1,12
1576,1576,1,41
1577,1577,1,10
1578,1578,1,28
1579,1579,1,9
1580,1580,1,44
1581,1581,1,15
1582,1582,1,22
1583,1583,1,2
1584,1584,1,46
1585,1585,1,18
1586,1586,1,3
1587,1587,1,36
1588,1588,1,42
1589,1589,1,17
1590,1590,1,47
1591,1591,1,39
1592,1592,1,40
1593,1593,1,41
1594,1594,1,49
1595,1595,1,24
